Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
16390,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA008262,C[C@@H]1CC(=O)O[C@H]1[C@@]2(CC(=O)C3=C(O2)C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@]6([C@@H]([C@@H](C=C(C6C5=O)O)C)O)C(=O)OC)O)C(=O)OC,0.002663633,1.0,0.125,1.0,0.821428571
16397,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA015807,C[C@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@](CC5=O)([C@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@]2([C@@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16406,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA019648,C[C@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@](CC5=O)([C@@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@]2([C@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16407,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA015596,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2C(=O)OC)O)OC)C(=O)OC3=CC(=CC4=C3C(=O)[C@@]5(O4)C(=CC(=O)C=C5OC)C(=O)OC)C)O,0.487466501,4.0,0.5,4.0,0.609375
16411,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA023267,C[C@@H]1CC(=O)O[C@@H]1[C@]2(CC(=O)C3=C(O2)C=CC(=C3O)C4=C5C(=C(C=C4)O)C(=O)C[C@@](O5)([C@@H]6[C@@H](CC(=O)O6)C)C(=O)OC)C(=O)OC,0.002834266,1.0,0.125,1.0,0.821428571
16416,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA023458,C[C@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@](CC5=O)([C@@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@]2([C@@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16417,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA023459,C[C@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@](CC5=O)([C@H]6[C@@H](CC(=O)O6)C)C(=O)OC)O)O[C@]2([C@@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16418,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA023460,C[C@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@](CC5=O)([C@@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@]2([C@@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16422,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA002325,C[C@@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@](CC5=O)([C@@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@@]2([C@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
16424,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA014340,C[C@@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@](CC5=O)([C@@H]6[C@H](CC(=O)O6)C)C(=O)OC)O)O[C@@]2([C@@H]1O)C(=O)OC)O,0.002486359,1.0,0.125,1.0,0.854545455
