adduct,name,class,level,pepmass,row m/z,ppm,¡÷ m/z,selected,shared name,compound_name,formula,clac_M+H,clac_M+Na,smiles,gnps_id,np_id,suspect_annotation,murckoscaffold,scaffoldID,exactmass
M+H,2,,B2,324.1702,324.1702271,1.313814178,0.0004259,FALSE,2,FH-10,C19H21N3O2,324.170653,346.1525973,O=C([C@]([H])(C)NC/1=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,CCMSLIB00000839193,CNP0233322,,O=C1CNC(=O)C(=Cc2c[nH]c3ccccc23)N1,scaffold1,323.163377
M+H,5,,B1,383.1125,383.1125488,0.046461545,1.78E-05,FALSE,5,FA-15,C21H18O7,383.112531,405.0944753,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,0,CNP0172827,,O=C1c2ccccc2C(=O)c2cc3c(cc21)OC1CCCC3O1,scaffold3,382.105255
M+H,7,,B1,327.0854,327.0853577,2.929807678,0.0009583,FALSE,7,FA-2,C18H14O6,327.086316,349.0682603,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,0,0,,O=c1c2ccccc2oc2cc3c(cc12)C1CCOC1O3,scaffold4,326.07904
M+H,9,,B1,327.0849,327.0848999,4.329438227,0.0014161,FALSE,9,FA-21,C18H14O6,327.086316,349.0682603,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,0,NPA014819,,O=c1c2ccccc2oc2c3c(ccc12)OC1OCCC31,scaffold5,326.07904
M+H,11,,B2,325.0702,325.0701904,1.463066495,0.0004756,FALSE,11,FA-3,C18H12O6,325.070666,347.0526103,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,CCMSLIB00005721073,NPA005925,,O=c1c2ccccc2oc2c3c(ccc12)OC1OC=CC31,scaffold6,324.06339
M+H,13,,B2,355.0809,355.0809326,0.840371087,0.0002984,FALSE,13,FA-4,C19H14O7,355.081231,377.0631753,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,CCMSLIB00005721072,CNP0303385,,O=c1c2ccccc2oc2c3c(ccc12)OC1OC=CC31,scaffold6,354.073955
M+H,15,,B1,348.1685,348.1685181,6.131763207,0.0021349,FALSE,15,FA-6,C21H21N3O2,348.170653,370.1525973,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,0,CNP0129302,,O=c1[nH]c(=Cc2c[nH]c3ccccc23)c(=O)n2c1=CCC2,scaffold7,347.163377
M+H,18,,B2,367.2639,367.263916,2.069360859,0.00076,FALSE,18,FE-16,C25H34O2,367.263156,389.2451003,[H][C@@]12C(C)=CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=CC=C(/C)C)C)[H])(C)C2,0,CNP0178311,,O=C1C=CC2CC3CCCC3CC=CC12,scaffold9,366.25588
M+H,21,,B2,599.2473,599.2472534,2.399003989,0.0014376,FALSE,21,FE-25,C32H38O11,599.248691,621.2306353,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,0,CNP0103235,,C=C1C2(CCC(=O)OC2)CCC2C13CC1OC(=O)C4(COC(=O)C24C1=C)O3,scaffold11,598.241415
M+H,23,,B1,392.2313,392.2313232,4.920031602,0.0019298,FALSE,23,FH-13,C24H29N3O2,392.233253,414.2151973,O=C([C@H](C)NC/1=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC(C/C=C(C)/C)=CC=C32,0,CNP0266336,,O=C1CNC(=O)C(=Cc2c[nH]c3ccccc23)N1,scaffold1,391.225977
