Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps,pair_similarity,pp,mps_pp,mcs
1,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CCMSLIB00004679306, CC1C2CCC(=C3C(C2OC1=O)C(=CC3=O)CO)C,34,0.675579822,0.641509434,34,0.555555556
3,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CCMSLIB00005721072, O=C1C2=C(C(OC)=CC=C2O)OC3=C4C(O[C@]5([H])[C@@]4([H])C=CO5)=CC(OC)=C31,11,0.699687075,0.733333333,11,1.0
1530,11,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,325.0701904,CCMSLIB00003138948,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,12,0.940765488,0.428571429,12,1.0
500,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CCMSLIB00009936758,C1=COC=C1C(=O)O,54,0.654501535,0.794117647,54,0.4375
1227,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CCMSLIB00009920323,CCC=CC[C@H]1C(=O)CC[C@@H]1CC(=O)O,57,0.693439979,0.7125,57,0.5
1230,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CCMSLIB00009920323,CCC=CC[C@H]1C(=O)CC[C@@H]1CC(=O)O,49,0.615149084,0.7,49,0.5
1302,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CCMSLIB00009988403,CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O,49,0.634270899,0.790322581,49,0.407407407
1244,77,CCCCC1C(OC)=CC(=O)OC=1C,197.1167603,CCMSLIB00005724037,CCC1=C(C=C(OC1=O)[C@@H](C)CC)O,49,0.515672541,0.731343284,49,0.647058824
4562,94,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,639.1755371,CCMSLIB00000478098,OC1=C(C(C(C(O)=C(C2=CC=C(O[C@]3(C(OC)=O)C(C4=O)=C(O)C[C@H](C)[C@H]3O)C4=C2O)C=C5)=C5O6)=O)C6(C(OC)=O)[C@H](O)[C@@H](C)C1,30,0.62191727,0.810810811,30,1.0
160,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,CCMSLIB00005720142,C[C@@H]1CC(=O)C2=C(c3c(ccc(c3O)c3c(c4c(cc3)O[C@@]3([C@H]([C@@H](CC(=O)C3=C4O)C)O)C(=O)OC)O)O[C@@]2([C@H]1O)C(=O)OC)O,6,0.837256259,0.75,6,0.854545455
163,2,O=C([C@]([H])(C)NC/1=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1702271,CCMSLIB00000845126,C[C@@H]1NC(=O)\C(NC1=O)=C\C2=C(NC3=CC=CC=C23)C(C)(C)C=C,38,0.833978686,0.603174603,38,1.0
173,52,COC1C=C2C(C(C3C(O)=C4C(OC5C4CCO5)=CC=3C2=O)=O)=C(OC)C=1,369.0978088,CCMSLIB00005727390,C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=C(C=C5C4=O)O)O,6,0.721286481,0.125,6,0.722222222
1017,91,COC1C([C@@H](OC(=O)C)CC(C)C)=CC=C2C=1C(OCC1C=C(C)C=C(O)C=1O2)=O,437.1555176,CCMSLIB00009969741,CC1=CC(=C2C(=C1)COC(=O)C3=C(O2)C=CC(=C3OC)C(CC(C)C)OC(=O)C)O,24,0.842541148,0.233009709,24,1.0
1171,32,OC1=CC(O)=C(C2=O)C(CC(O[C@H](CCCCC2)C)=O)=C1,293.1387329,CCMSLIB00000853332,CC1CCCCCC(=O)C2=C(CC(=O)O1)C=C(O)C=C2O,60,0.838436028,0.845070423,60,1.0
2680,41,C[C@H](/C=C/[C@H](C)C(C)C)[C@@]1([H])CC[C@@]2([H])[C@@]34C=C[C@@]5(OO4)C[C@@H](O)CC[C@]5(C)[C@@]3([H])CC[C@@]21C,429.3345947,CCMSLIB00009922014,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,115,0.611757197,0.649717514,115,0.552631579
219,21,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,599.2472534,CCMSLIB00004713390,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,114,0.595365455,0.735483871,114,0.411764706
232,27,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,322.15625,CCMSLIB00010005944,C[C@H]1C(=O)N/C(=C\C2=C(NC3=CC=CC=C32)C(C)(C)C=C)/C(=O)N1,20,0.939357661,0.540540541,20,0.925925926
815,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007049,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,15,0.893774957,0.833333333,15,1.0
439,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CCMSLIB00005720541,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,9,0.90874755,0.818181818,9,0.866666667
582,4,C(O)(=O)C1=CC=C([C@](O)(C)CCCC(C)=C)C(O)=C1,287.1239929,CCMSLIB00004713786,CC(=C)[C@H]1Cc2c(ccc3c2O[C@@H]4COc5cc(c(cc5[C@@H]4C3=O)OC)OC)O1,28,0.684991798,0.180645161,28,0.485714286
702,45,CC(O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C)=O,457.293396,CCMSLIB00000852717,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@]4(C)O\C5=C(/C[C@@H]34)C(=O)\C=C(C)/O5)C1(C)C,35,0.975797351,0.714285714,35,0.290909091
1444,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CCMSLIB00010120799,COC(=O)c1ccc2c(c1)C(=O)C(=Cc1ccc(O)c(OC)c1)O2,11,0.786041849,0.458333333,11,0.35
917,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CCMSLIB00000855714,CC[C@H](C)\C=C(C)\C=C\C1=C\C\2=C\C(=O)[C@]3(C)OC(=O)[C@H]([C@@H]3C2=C/O1)C(C)=O,15,0.5361399,0.6,15,0.414634146
1018,96,O=C(C1=C(O2)C=C(C)C(OC)=C1C(OC)=O)C3=C2C=CC=C3O,315.0882263,CCMSLIB00009972639,CC1=CC(=C2C(=C1)OC3=CC(=CC(=C3C2=O)C(=O)OC)O)O,10,0.897082466,0.666666667,10,0.75
1216,71,O=C1C=C[C@@]2(CC[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,457.1876831,CCMSLIB00000853908,CC1OC(=O)C23C(=C)C(C)(CC4C\5(C)OC(C6OC67C5=C\C(=O)OC7(C)C)C24C)C(=O)C13O,181,0.577544148,0.874396135,181,0.75
1447,47,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3C=CO4)=CC=1O2)=O,325.072052,CCMSLIB00010120800,COC(=O)c1ccc2c(c1)C(=O)C(=Cc1ccc(O)c(OC)c1)O2,12,0.735009735,0.25,12,0.542857143
1450,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CCMSLIB00010120799,COC(=O)c1ccc2c(c1)C(=O)C(=Cc1ccc(O)c(OC)c1)O2,14,0.52224554,0.378378378,14,0.35
4016,5,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,383.1125488,CCMSLIB00005721075,O=C1C2=C(C=C(O[C@]3(C)O[C@H]4CCC3)C4=C2O)C(C5=CC(O)=CC(OC)=C51)=O,9,0.954343288,0.529411765,9,1.0
1756,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CCMSLIB00010116150,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,22,0.51133541,0.23655914,22,0.7
2262,18,[H][C@@]12C(C)=CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=CC=C(/C)C)C)[H])(C)C2,367.263916,CCMSLIB00009939800,O=C(OC)C=1C(O)=C2C=CC=CC2=C3OC(C=CC31)(C)C,103,0.557519191,0.56284153,103,0.485714286
2555,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CCMSLIB00009972376,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,34,0.814166324,0.723404255,34,0.30952381
