Unnamed: 0.1,Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2,tanimoto,pair_similarity,mps,pp,mps_pp,mcs,max_pp,max_mps
172,172,1,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C=O)=O)O)C)C,397.1611328,CNP0330727,O=C(NC=1C=CC=2C=CNC2C1)CCCCCN3C=NC=4C=CC=CC4C3=O,0.0,0.0,0.0,1.0,0.083333333,0.001167568,6.0,0.5,0.08953334,0.09375,0.08953334,6.0,0.5,6.0,0.3953488372093023,0.5,6.0
1205,1205,5,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,383.1125488,CNP0242340,O=C1OC2=CC(O)=CC(O)=C2C=3OC4=CC(OC)=C(C(O)=C4C13)CC=C(C)C,1.0,0.058823529,0.214611501,2.0,0.117647059,0.595086262,9.0,0.529411765,0.38484801,0.2098765432098765,0.595086262,2.0,0.117647059,2.0,0.6578947368421053,0.529411765,9.0
1587,1587,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0400026,O=C1C=C(OC2=C(OC)C(OC)=CC=C12)C=3C=CC=4OCOC4C3,2.0,0.054054054,0.562739432,2.0,0.054054054,0.562739432,14.0,0.378378378,0.472112276,0.2105263157894736,0.562739432,2.0,0.054054054,2.0,0.71875,0.378378378,14.0
2014,2014,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CNP0400026,O=C1C=C(OC2=C(OC)C(OC)=CC=C12)C=3C=CC=4OCOC4C3,2.0,0.083333333,0.671009153,2.0,0.083333333,0.671009153,12.0,0.5,0.441155804,0.2266666666666666,0.671009153,2.0,0.083333333,2.0,0.71875,0.5,12.0
2626,2626,11,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,325.0701904,CNP0386272,O=C(OC1=CC=C2C(OC(=CC3=CC=C4OCOC4=C3)C2=O)=C1)C,2.0,0.071428571,0.408100372,4.0,0.142857143,0.360563427,10.0,0.357142857,0.346483733,0.15,0.408100372,2.0,0.071428571,2.0,0.6176470588235294,0.357142857,10.0
2788,2788,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CNP0238252,O=C1C2=C(O)C(OC)=C3OC=CC3=C2OC(C4=CC=C5OCOC5=C4)C1,2.0,0.133333333,0.822196871,2.0,0.133333333,0.822196871,8.0,0.533333333,0.395175089,0.2048192771084337,0.822196871,2.0,0.133333333,2.0,0.7142857142857143,0.533333333,8.0
3219,3219,17,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3O)=C[C@H]2OC(/C=C/C=C/C=O)=O)O)C)C,399.177887,CMNPD30383,[C@@H]([C@H](Cc1ccc(C\C=C(/C)\C)c(O)c1)C(=O)OC)(C(=O)O)c2ccc(O)cc2,9.0,0.225,0.12379636,9.0,0.225,0.108923334,14.0,0.35,0.210715686,0.1235955056179775,0.210715686,14.0,0.35,14.0,0.4390243902439024,0.35,14.0
4475,4475,32,OC1=CC(O)=C(C2=O)C(CC(O[C@H](CCCCC2)C)=O)=C1,293.1387329,NPA010039,CC(C)C/C(=C(\C1=CC=C(C=C1)O)/C(=O)OC)/C(=O)OC,12.0,0.169014085,0.201626452,21.0,0.295774648,0.324776058,25.0,0.352112676,0.372737647,0.1076923076923077,0.372737647,25.0,0.352112676,25.0,0.3870967741935484,0.352112676,25.0
4688,4688,33,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,491.0977783,CNP0277015,O=C(O)COC=1C=CC=CC1C2C=3C(OC(=O)C2)=CC(O)=C4C(=O)C=C(OC43)C=5C=CC(O)=C(O)C5,2.0,0.051282051,0.688273415,8.0,0.205128205,0.452869487,14.0,0.358974359,0.436300125,0.1414141414141414,0.688273415,2.0,0.051282051,2.0,0.673469387755102,0.358974359,14.0
4841,4841,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CNP0254547,O=CC1=CN(OC)C=2C=CC=CC12,1.0,0.090909091,0.039900184,1.0,0.090909091,0.0325903,9.0,0.818181818,0.387456259,0.1739130434782608,0.387456259,9.0,0.818181818,9.0,0.75,0.818181818,9.0
5297,5297,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CNP0213213,O=CC1=CC=C(OC(=O)CCCCCCCC=CCC=CCCCCC)C(OC)=C1,14.0,0.29787234,0.26565133,17.0,0.361702128,0.272477361,12.0,0.255319149,0.042691694,0.1208791208791208,0.272477361,17.0,0.361702128,17.0,0.2448979591836734,0.361702128,17.0
