Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps,pair_similarity,pp,mps_pp,mcs
3389,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CCMSLIB00000855217,CC\1=C2/C[C@H]3O[C@@]3(C)CCC4O[C@@]4(C)C[C@@]2(O)OC1=O,49,0.313443714,0.924528302,49,0.6296296296296297
1192,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CCMSLIB00005721072, O=C1C2=C(C(OC)=CC=C2O)OC3=C4C(O[C@]5([H])[C@@]4([H])C=CO5)=CC(OC)=C31,11,0.699687075,0.733333333,11,1.0
1778,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CCMSLIB00009923720,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,40,0.327075727,0.85106383,40,0.30952380952380953
3906,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CCMSLIB00009936758,C1=COC=C1C(=O)O,54,0.654501535,0.794117647,54,0.4375
3308,67,CCCC(CC1OC(=O)C2C(=CC(=CC=2O)O)C1)O,267.1223145,CCMSLIB00009976668,C[C@@H]1[C@@H]2[C@H](CC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)CO)C)O,56,0.402858628,0.651162791,56,0.5555555555555556
4598,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,CCMSLIB00005720142,C[C@@H]1CC(=O)C2=C(c3c(ccc(c3O)c3c(c4c(cc3)O[C@@]3([C@H]([C@@H](CC(=O)C3=C4O)C)O)C(=O)OC)O)O[C@@]2([C@H]1O)C(=O)OC)O,6,0.837256259,0.75,6,0.8545454545454545
1449,29,O=C(C(NC1=O)=C)N[C@H]1CC2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1708374,CCMSLIB00000845126,C[C@@H]1NC(=O)\C(NC1=O)=C\C2=C(NC3=CC=CC=C23)C(C)(C)C=C,19,0.331901685,0.791666667,19,0.40540540540540543
118,2,O=C([C@]([H])(C)NC/1=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1702271,CCMSLIB00000845126,C[C@@H]1NC(=O)\C(NC1=O)=C\C2=C(NC3=CC=CC=C23)C(C)(C)C=C,38,0.833978686,0.603174603,38,1.0
4110,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CCMSLIB00009988403,CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O,49,0.634270899,0.790322581,49,0.4074074074074074
1319,18,[H][C@@]12C(C)=CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=CC=C(/C)C)C)[H])(C)C2,367.263916,CCMSLIB00009939472,C[C@H](CCC(=O)O)C1CCC2[C@@]1([C@H](CC3C2C(=O)CC4[C@@]3(CC[C@H](C4)O)C)O)C,118,0.426128053,0.644808743,118,0.4523809523809524
1469,32,OC1=CC(O)=C(C2=O)C(CC(O[C@H](CCCCC2)C)=O)=C1,293.1387329,CCMSLIB00000853332,CC1CCCCCC(=O)C2=C(CC(=O)O1)C=C(O)C=C2O,60,0.838436028,0.845070423,60,1.0
1347,21,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,599.2472534,CCMSLIB00004713390,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,114,0.595365455,0.735483871,114,0.4117647058823529
5004,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007049,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,15,0.893774957,0.833333333,15,1.0
1552,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CCMSLIB00005720507,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,9,0.90324181,0.818181818,9,0.8666666666666667
3821,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CCMSLIB00009920323,CCC=CC[C@H]1C(=O)CC[C@@H]1CC(=O)O,57,0.693439979,0.7125,57,0.5
3945,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CCMSLIB00009936758,C1=COC=C1C(=O)O,49,0.47853588,0.7,49,0.4375
3082,54,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(CCC2)C(=O)N/1)(C)C,350.1861877,CCMSLIB00009971937,CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C,43,0.367758046,0.682539683,43,0.35555555555555557
