Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps,pair_similarity,pp,mps_pp,mcs
3372,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CCMSLIB00004679306, CC1C2CCC(=C3C(C2OC1=O)C(=CC3=O)CO)C,34,0.675579822,0.641509434,34,0.5555555555555556
1281,15,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,348.1685181,CCMSLIB00005721055, O=C([C@H](C1)N(C2=O)/C=C\C(C)(C)C3=C1C(C=CC=C4)=C4N3)N5C2=CCC5,7,0.250780327,0.060869565,7,0.6857142857142857
1192,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CCMSLIB00005721072, O=C1C2=C(C(OC)=CC=C2O)OC3=C4C(O[C@]5([H])[C@@]4([H])C=CO5)=CC(OC)=C31,11,0.699687075,0.733333333,11,1.0
536,11,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,325.0701904,CCMSLIB00003135780,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,10,0.962434068,0.357142857,10,1.0
1896,47,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3C=CO4)=CC=1O2)=O,325.072052,CCMSLIB00005725543,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,5,0.786496588,0.104166667,5,0.75
1815,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CCMSLIB00009972376,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,34,0.814166324,0.723404255,34,0.30952380952380953
3799,77,CCCCC1C(OC)=CC(=O)OC=1C,197.1167603,CCMSLIB00009931301,CCCCCC1C(O1)C/C=C\CCCCCCCC(=O)O,9,0.693922656,0.134328358,9,0.34615384615384615
3827,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,45,0.710422017,0.5625,45,0.5789473684210527
3910,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,41,0.730507994,0.602941176,41,0.5789473684210527
3943,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CCMSLIB00009920323,CCC=CC[C@H]1C(=O)CC[C@@H]1CC(=O)O,49,0.615149084,0.7,49,0.5
4097,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CCMSLIB00009972352,CC[C@H](C[C@@H]1C(=C[C@@H]2CCCC[C@@H]2[C@@]1(C)C(=O)O)C)O,47,0.855447995,0.758064516,47,0.56
3308,67,CCCC(CC1OC(=O)C2C(=CC(=CC=2O)O)C1)O,267.1223145,CCMSLIB00009976668,C[C@@H]1[C@@H]2[C@H](CC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)CO)C)O,56,0.402858628,0.651162791,56,0.5555555555555556
4582,94,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,639.1755371,CCMSLIB00004751495,C[C@@H]1CC(=O)C2=C(C3=C(C=CC(=C3O)C4=C(C5=C(C=C4)O[C@@]6([C@H]([C@@H](CC(=O)C6=C5O)C)O)C(=O)OC)O)O[C@@]2([C@H]1O)C(=O)OC)O,18,0.73511923,0.486486486,18,0.8545454545454545
4598,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,CCMSLIB00005720142,C[C@@H]1CC(=O)C2=C(c3c(ccc(c3O)c3c(c4c(cc3)O[C@@]3([C@H]([C@@H](CC(=O)C3=C4O)C)O)C(=O)OC)O)O[C@@]2([C@H]1O)C(=O)OC)O,6,0.837256259,0.75,6,0.8545454545454545
118,2,O=C([C@]([H])(C)NC/1=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1702271,CCMSLIB00000845126,C[C@@H]1NC(=O)\C(NC1=O)=C\C2=C(NC3=CC=CC=C23)C(C)(C)C=C,38,0.833978686,0.603174603,38,1.0
1449,29,O=C(C(NC1=O)=C)N[C@H]1CC2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1708374,CCMSLIB00000845126,C[C@@H]1NC(=O)\C(NC1=O)=C\C2=C(NC3=CC=CC=C23)C(C)(C)C=C,19,0.331901685,0.791666667,19,0.40540540540540543
3027,52,COC1C=C2C(C(C3C(O)=C4C(OC5C4CCO5)=CC=3C2=O)=O)=C(OC)C=1,369.0978088,CCMSLIB00005727390,C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=C(C=C5C4=O)O)O,6,0.721286481,0.125,6,0.8235294117647058
