Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2,max_pp,max_mps,mcs
172,1,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C=O)=O)O)C)C,397.1611328,CNP0330727,O=C(NC=1C=CC=2C=CNC2C1)CCCCCN3C=NC=4C=CC=CC4C3=O,0.0,0.0,0.0,1.0,0.083333333,0.001167568,6.0,0.5,0.08953334,0.5,6.0,0.3953488372093023
1205,5,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,383.1125488,CNP0242340,O=C1OC2=CC(O)=CC(O)=C2C=3OC4=CC(OC)=C(C(O)=C4C13)CC=C(C)C,1.0,0.058823529,0.214611501,2.0,0.117647059,0.595086262,9.0,0.529411765,0.38484801,0.529411765,9.0,0.6578947368421053
2014,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CNP0400026,O=C1C=C(OC2=C(OC)C(OC)=CC=C12)C=3C=CC=4OCOC4C3,2.0,0.083333333,0.671009153,2.0,0.083333333,0.671009153,12.0,0.5,0.441155804,0.5,12.0,0.71875
2788,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CNP0238252,O=C1C2=C(O)C(OC)=C3OC=CC3=C2OC(C4=CC=C5OCOC5=C4)C1,2.0,0.133333333,0.822196871,2.0,0.133333333,0.822196871,8.0,0.533333333,0.395175089,0.533333333,8.0,0.7142857142857143
4841,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CNP0254547,O=CC1=CN(OC)C=2C=CC=CC12,1.0,0.090909091,0.039900184,1.0,0.090909091,0.0325903,9.0,0.818181818,0.387456259,0.818181818,9.0,0.75
6067,49,COC1C(O)=CC(C)=CC=1OC1=CC(=CC(=C1O)O)C,277.1073608,CNP0187057,OC=1C=C(C=C(OC2=C(O)C=C(OC)C=C2C)C1O)C,2.0,0.046511628,0.33541175,19.0,0.441860465,0.377384077,18.0,0.418604651,0.346488051,0.441860465,19.0,0.75
7657,57,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C(OC)OC)=O)O)C)C,443.2061462,CNP0221831,O=C1CC23OCOC3(CC(O2)C(OC4=CC=5OCOC5C=C4CC=C)(C)C)CC1CC=C,2.0,0.133333333,0.350916582,2.0,0.133333333,0.164148633,6.0,0.4,0.243729296,0.4,6.0,0.4166666666666667
7880,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CNP0311705,O=C1C=C2C(O)CC3C(C(=O)CC4(C)C(C(=O)CO)CCC34)C2(C)CC1,0.0,0.0,0.0,5.0,0.2,0.152759387,12.0,0.48,0.076254997,0.48,12.0,0.5833333333333334
8049,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,NPA006868,C/C=C/C=C/C1=CC(=O)C2=C(O1)O[C@@]3(CC[C@@]4([C@@]5([C@H]3[C@H]2OC5)CCC(=O)C4(C)C)O)C,2.0,0.153846154,0.328344619,4.0,0.307692308,0.197344997,7.0,0.538461538,0.195550392,0.538461538,7.0,0.5714285714285714
14463,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CNP0134757,OCC(=C)C1CCC(O)(C)C2CC=C(C)C2C1,7.0,0.112903226,0.294096725,30.0,0.483870968,0.616227007,23.0,0.370967742,0.286036861,0.483870968,30.0,0.6363636363636364
16504,96,O=C(C1=C(O2)C=C(C)C(OC)=C1C(OC)=O)C3=C2C=CC=C3O,315.0882263,NPA006892,COC(=O)C1=C2C(=CC=C1)OC3=C(C2=O)C(=CC(=C3)CCO)O,1.0,0.066666667,0.487712294,3.0,0.2,0.341360585,6.0,0.4,0.245281026,0.4,6.0,0.7857142857142857
