Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps,pair_similarity,pp,mps_pp,mcs
3372,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CCMSLIB00004679306, CC1C2CCC(=C3C(C2OC1=O)C(=CC3=O)CO)C,34,0.675579822,0.641509434,34,0.5555555555555556
1281,15,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,348.1685181,CCMSLIB00005721055, O=C([C@H](C1)N(C2=O)/C=C\C(C)(C)C3=C1C(C=CC=C4)=C4N3)N5C2=CCC5,7,0.250780327,0.060869565,7,0.6857142857142857
1192,13,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3OC)O)C4=O)OC)O[C@@]1([H])OC=C2,355.0809326,CCMSLIB00005721072, O=C1C2=C(C(OC)=CC=C2O)OC3=C4C(O[C@]5([H])[C@@]4([H])C=CO5)=CC(OC)=C31,11,0.699687075,0.733333333,11,1.0
5078,99,CC(C)CC1NC(=O)C2CCCN2C1=O,233.1257172,CCMSLIB00000205038,CC(=O)N1CC2CC(C1)C3=CC=CC(=O)N3C2,1,0.996429384,0.333333333,1,0.5909090909090909
3126,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CCMSLIB00005463903,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1,0.599309623,0.04,1,0.6285714285714286
3818,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,CCMSLIB00009948443,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)CN,1,0.102120824,0.5,1,0.6875
1707,38,O=C(CO)C1=CNC2=CC=CC=C21,198.0523376,CCMSLIB00010116229,Cn1c(=O)cc(O)c2ccccc21,1,0.067582048,1.0,1,0.75
5046,99,CC(C)CC1NC(=O)C2CCCN2C1=O,233.1257172,CCMSLIB00005721091,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,3,0.0361015,1.0,3,0.6190476190476191
3827,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,45,0.710422017,0.5625,45,0.5789473684210527
188,5,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,383.1125488,CCMSLIB00005721075,O=C1C2=C(C=C(O[C@]3(C)O[C@H]4CCC3)C4=C2O)C(C5=CC(O)=CC(OC)=C51)=O,9,0.954343288,0.529411765,9,1.0
3910,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,41,0.730507994,0.602941176,41,0.5789473684210527
3852,80,CCCCC1C(OC)=CC(=O)OC=1CO,235.0920563,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,1,0.999697089,0.5,1,0.5789473684210527
1288,16,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,370.1524963,CCMSLIB00000839201,O=C1C2=C(C=CC=C2)N=C(N1CC3)C4=C3C5=C(N4)C=CC6=C5C=CC(C)(C)O6,4,0.068919608,0.5,4,0.5121951219512195
3936,82,CCC(CC1C(OC)=CC(=O)OC=1C)O,235.0932159,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,1,0.999872565,0.5,1,0.5789473684210527
3974,84,CCCC(C1C(OC)=CC(=O)OC=1C)O,235.0926056,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,1,0.999795556,0.333333333,1,0.5789473684210527
4165,87,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,259.1661377,CCMSLIB00004717278,O=C1C2=C(C=CC=C2O)OC3=C4C(O[C@]5([H])[C@@]4([H])C=CO5)=CC(OC)=C31,3,0.147807966,0.75,3,0.4838709677419355
1705,38,O=C(CO)C1=CNC2=CC=CC=C21,198.0523376,CCMSLIB00005464241,OC(=O)CC1=CNC2=C1C=CC=C2,1,0.800172091,1.0,1,0.8666666666666667
1889,45,CC(O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C)=O,457.293396,CCMSLIB00000852717,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@]4(C)O\C5=C(/C[C@@H]34)C(=O)\C=C(C)/O5)C1(C)C,35,0.975797351,0.714285714,35,0.2909090909090909
1519,36,COC(=O)C1=C(C(=O)C2=C(O)C=C(C(=O)O)C=C2O)C(O)=CC=C1,355.0410767,CCMSLIB00004700268,COC(=O)C1=CC(=C(C(=C1)O)C(=O)C2=C(C=CC=C2O)C(=O)O)O,4,0.016767178,0.16,4,0.9230769230769231
