Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2,pair_similarity,mps,pp,mcs
4608,32,OC1=CC(O)=C(C2=O)C(CC(O[C@H](CCCCC2)C)=O)=C1,293.1387329,CNP0173224,O=C(OC(C=C)C1=CC=C(OC(=O)C(C)C)C(OC)=C1)C,4.0,0.056338028,0.136794784,15.0,0.211267606,0.29927555,21.0,0.295774648,0.43765255,0.43765255,21.0,0.295774648,0.6538461538461539
6145,50,COC1C(O)=CC(C)=CC=1OC1=CC(=CC(=C1O)O)C,299.0892639,CMNPD20922,Oc1ccc(cc1)C2=C(Cc3cc(O)c(O)cc3)COC2=O,1.0,0.166666667,0.841282964,1.0,0.166666667,0.369998395,0.0,0.0,0.0,0.841282964,1.0,0.166666667,0.6071428571428571
4099,27,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,322.15625,CNP0004078,O=C(NCC)N1CC2OCC(=O)N(CC3=CC=C(F)C=C3)C2C1,1.0,0.027027027,0.079013236,1.0,0.027027027,0.040396336,10.0,0.27027027,0.126882118,0.126882118,10.0,0.27027027,0.3783783783783784
12808,82,CCC(CC1C(OC)=CC(=O)OC=1C)O,235.0932159,CNP0084919,O=C(O)CCC(NCC(N)C(=O)O)C(=O)O,1.0,0.5,0.515878201,1.0,0.5,0.338862985,0.0,0.0,0.0,0.515878201,1.0,0.5,0.6666666666666666
11785,72,O=C1C=C[C@@]2(CC[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,479.1680908,CNP0401277,O=C(NC1=CC=C2OCOC2=C1)CCN3C=4C=CC=CC4C5=C3C6=NC=7C=CC=CC7C(=O)N6CC5,1.0,0.2,0.927370369,1.0,0.2,0.550526202,1.0,0.2,0.306925267,0.927370369,1.0,0.2,0.48148148148148145
12809,82,CCC(CC1C(OC)=CC(=O)OC=1C)O,235.0932159,CNP0085688,O=C(NC12NC2(O)OC(CO)C(O)C1O)C,1.0,0.5,0.734595358,1.0,0.5,0.561742485,1.0,0.5,0.478720605,0.734595358,1.0,0.5,0.6842105263157895
9744,64,CCC[C@@H]1O[C@](C)2[C@@](OC(C3C2=CC(OC)=C(OC)C=3O)=O)(C)C1,331.1141663,CNP0081735,O=C(O)C1=CC=C(C=C1O)NCC2=NC=3C(=O)NC(=NC3NC2)N,1.0,0.25,0.725822985,1.0,0.25,0.333106041,0.0,0.0,0.0,0.725822985,1.0,0.25,0.625
15376,89,O=C(C(NC/1=O)=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1347961,CNP0203801,O=C(NCC1OCC2=NC=C(C=3C=CC=CC3)N2C1)COC,0.0,0.0,0.0,2.0,0.057142857,0.160725014,7.0,0.2,0.396930545,0.396930545,7.0,0.2,0.35135135135135137
16407,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA015596,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2C(=O)OC)O)OC)C(=O)OC3=CC(=CC4=C3C(=O)[C@@]5(O4)C(=CC(=O)C=C5OC)C(=O)OC)C)O,4.0,0.5,0.487466501,4.0,0.5,0.355210852,1.0,0.125,0.350667626,0.487466501,4.0,0.5,0.609375
4120,27,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,322.15625,CNP0438443,O=C(NC1=NC=CS1)CC2CCN(C(=O)C3CC3)CC2CC,3.0,0.081081081,0.482552752,4.0,0.108108108,0.287521251,5.0,0.135135135,0.259498561,0.482552752,3.0,0.081081081,0.35135135135135137
4639,33,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,491.0977783,CMNPD27475,O=C1C[C@@](Oc(c(c2C)c(c3CO4)c(C4=O)c(c2)O)c5c3O)(O)[C@@]5(CO6)c(c17)c(C6=O)c(O)cc7C,2.0,0.051282051,0.784027852,2.0,0.051282051,0.784027852,7.0,0.179487179,0.449976318,0.784027852,2.0,0.051282051,1.0
3106,16,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,370.1524963,CNP0399178,O=C(NC1=CC=CC2=C1C=CN2CCOC)CN3C=CC=4C=CC=CC43,0.0,0.0,0.0,2.0,0.25,0.024904928,2.0,0.25,0.021871801,0.024904928,2.0,0.25,0.28888888888888886
9764,64,CCC[C@@H]1O[C@](C)2[C@@](OC(C3C2=CC(OC)=C(OC)C=3O)=O)(C)C1,331.1141663,CNP0016312,O=S1(=O)NC2CN(CC=3C=CC=CC3)CC2OC=4C=CC=CC41,1.0,0.25,0.901456296,1.0,0.25,0.841234446,1.0,0.25,0.323075116,0.901456296,1.0,0.25,0.625
4646,33,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,491.0977783,NPA015941,C1[C@H](CC(=O)C2=NC3=C(C=CC=C3O)N=C21)C4=C(C=C(C5=NC6=C(C(=CC=C6)O)N=C45)C(=O)O)O,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.256410256,0.083639097,0.083639097,10.0,0.256410256,0.5769230769230769
14375,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CNP0296913,O=C(OCC(=CCCC(=C)C=C)C)CC(C)C,14.0,0.225806452,0.695628385,17.0,0.274193548,0.45646676,15.0,0.241935484,0.358167994,0.695628385,14.0,0.225806452,0.4782608695652174
12328,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,NPA004617,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](CN1)C(=O)O)O)O,1.0,0.5,0.736530006,1.0,0.5,0.36300236,0.0,0.0,0.0,0.736530006,1.0,0.5,0.7058823529411765
3629,20,[H][C@@]12[C@@](O)(C)CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=CC=C(/C)C)C)[H])(C)C2,407.2545776,CNP0346191,O=C1C=C(OC(=C1O)C2(CC(=O)NCC3(N(C)C)CCCCC3)CCOCC2)C,2.0,0.333333333,0.501535707,1.0,0.166666667,0.352340788,1.0,0.166666667,0.437262237,0.501535707,2.0,0.333333333,0.4523809523809524
11826,72,O=C1C=C[C@@]2(CC[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,479.1680908,CNP0251530,O=C(OC1CC2C(=O)OC(C3=COC=C3)CC2(C)C4C(=O)CCC5C(=O)OCC154)C(=CC)C,0.0,0.0,0.0,2.0,0.4,0.005158777,1.0,0.2,0.002968378,0.005158777,2.0,0.4,0.5957446808510638
3123,16,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,370.1524963,CNP0055870,OC=1C=C(OCC=2C=CC=CC2)C=CC1C=3N=C(N=CC3C4=CC=CC=C4)N,1.0,0.125,0.966600776,1.0,0.125,0.966600776,2.0,0.25,0.009076709,0.966600776,1.0,0.125,0.2765957446808511
12340,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,CNP0398447,O=C(O)CCC(NC(=O)C(N)C)C(=O)O,1.0,0.5,0.743288934,1.0,0.5,0.541324317,0.0,0.0,0.0,0.743288934,1.0,0.5,0.6470588235294118
15923,93,C(C1C(OC2C=CC([C@@H](CC(C)C)O)=C(OC)C=2C(OC)=O)=C(O)C=C(C)C=1)=O,425.1568604,CMNPD23589,[C@@H]1(C(C(=C(O[C@@H]1C)c2c(c3c(c(c2O)C)[C@H](C)[C@@H](C)O3)O4)C4=C(C(=O)O)C5=O)=C5C)C,2.0,0.5,0.731309932,2.0,0.5,0.482886446,2.0,0.5,0.218026991,0.731309932,2.0,0.5,0.7105263157894737
16442,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,CNP0415531,O=C(NCCS(=O)(=O)N(C)C)CC1=C(OC2=C1C(=O)C3(OC=4C(Cl)=C(OC)C=C(OC)C4C3=O)C(C)C2)C=5C=CC(OC)=CC5,1.0,0.125,0.525700867,2.0,0.25,0.300359974,2.0,0.25,0.302977178,0.525700867,1.0,0.125,0.5151515151515151
7230,54,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(CCC2)C(=O)N/1)(C)C,350.1861877,NPA014999,CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=CC=CC=C5N2)C,1.0,0.015873016,0.090939231,1.0,0.015873016,0.075727016,14.0,0.222222222,0.224594696,0.224594696,14.0,0.222222222,0.37209302325581395
4159,28,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,344.1372681,CMNPD5396,c1(c2c(cccc2)[nH]c1)\C=C\NC(=O)\C=C\c3c[nH]c(c3cc4)c(O)c4,1.0,0.5,0.87951678,1.0,0.5,0.404940277,1.0,0.5,0.47354883,0.87951678,1.0,0.5,0.41025641025641024
15427,90,O=C(C(NC/1=O)=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,346.1159668,CNP0415469,O=C1NC(=O)N(C2=NC(=CC=C12)C=3C=CC=CC3O)CC=4C=CC=CC4,1.0,0.066666667,0.460208178,1.0,0.066666667,0.613259494,2.0,0.133333333,0.226046801,0.613259494,1.0,0.066666667,0.34146341463414637
1607,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0411756,O=C(O)CC1=C(OC2=CC=3OCOC3C=C21)C4=CC=CC(OC)=C4,2.0,0.054054054,0.397112304,2.0,0.054054054,0.397112304,9.0,0.243243243,0.469720718,0.469720718,9.0,0.243243243,0.7741935483870968
11340,70,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,285.1089783,CNP0309508,O=C(NN=C(C1=CNC=2C=CC=CC21)C)C3=NON=C3N,1.0,0.25,0.894209206,1.0,0.25,0.457341969,0.0,0.0,0.0,0.894209206,1.0,0.25,0.375
3662,20,[H][C@@]12[C@@](O)(C)CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=CC=C(/C)C)C)[H])(C)C2,407.2545776,CNP0381850,O=C(OCC)N1CCN(CC1)CC2C(=O)OC3CC4(C)CCCC(C)C54OC5C32,2.0,0.333333333,0.729348141,2.0,0.333333333,0.394220342,2.0,0.333333333,0.323212895,0.729348141,2.0,0.333333333,0.4318181818181818
7246,54,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(CCC2)C(=O)N/1)(C)C,350.1861877,CNP0416464,OCC1C=C(C)C(CC2=NN=C(O2)C=3C=CN=CC3)CC1C(C)C,2.0,0.031746032,0.234170733,4.0,0.063492063,0.305121062,7.0,0.111111111,0.288400839,0.305121062,4.0,0.063492063,0.4864864864864865
15440,90,O=C(C(NC/1=O)=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,346.1159668,CNP0366249,O=C1NC(=NC2=C1N=CN2C3OC(CO)C4OC(OC34)(C)C)N,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.079712952,0.079712952,3.0,0.2,0.3684210526315789
5714,46,CC(O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C)=O,479.2737122,CNP0273484,O=C(OCCC)C1OC(C=CC1N=C(O)C(N)C(C)CCN(C(=N)N)C)N2C=CC(=N)N=C2O,2.0,0.333333333,0.434989616,2.0,0.333333333,0.318198763,1.0,0.166666667,0.197184369,0.434989616,2.0,0.333333333,0.3269230769230769
2132,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CNP0310355,O=C1C=2C(O)=CC=C(O)C2OC3=C4C=CC(OC4=CC(O)=C13)(C)C,2.0,0.083333333,0.713850126,2.0,0.083333333,0.771482527,7.0,0.291666667,0.176514977,0.771482527,2.0,0.083333333,0.6666666666666666
12884,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CMNPD16696,[C@@H]1(C)[C@H](O)CC(=C(C(O[C@H](C)C2)=O)[C@@]12[H])O,2.0,0.028571429,0.414199546,10.0,0.142857143,0.355286138,26.0,0.371428571,0.502023113,0.502023113,26.0,0.371428571,0.7222222222222222
5206,42,C[C@H](/C=C/[C@H](C)C(C)C)[C@@]1([H])CC[C@@]2([H])[C@@]34C=C[C@@]5(OO4)C[C@@H](O)CC[C@]5(C)[C@@]3([H])CC[C@@]21C,451.3167419,CNP0114019,O=C(NCC1N2CCC(C1)C(C=3N=C(N=C(C3)C(CC)CC)C=4C=CN=CC4)C2)NC(C)C,1.0,0.25,0.784499168,1.0,0.25,0.390338987,1.0,0.25,0.27156654,0.784499168,1.0,0.25,0.4791666666666667
1119,5,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,383.1125488,NPA011655,CC1=CC2=C(C(=C1)O)OC3=C(C(=CC(=C3O)O)C)C4=C(O2)C(=C(C=C4C)O)O,2.0,0.117647059,0.2806371,2.0,0.117647059,0.2806371,8.0,0.470588235,0.341676792,0.341676792,8.0,0.470588235,0.6578947368421053
5219,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CMNPD12808,C1CC[C@]2([C@@]([H])(CC[C@@](C)([C@]([H])(CC=C3C(C)=O)[C@]([C@H]3C(=O)O4)(C)[C@H]4C5)[C@@]25[H])C1(C)C)CO,2.0,0.042553191,0.390027106,4.0,0.085106383,0.166890597,7.0,0.14893617,0.033216567,0.390027106,2.0,0.042553191,0.3541666666666667
11880,73,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=O)(C)[C@]6(O4)C2=C)C(C)(C)O1,601.2318726,CNP0231643,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(C=C)C1CC=CC(=O)CC(O)CCC3=CC=C(O)C=C3,10.0,0.106382979,0.138725598,14.0,0.14893617,0.110427259,7.0,0.074468085,0.063343738,0.138725598,10.0,0.106382979,0.3582089552238806
6249,50,COC1C(O)=CC(C)=CC=1OC1=CC(=CC(=C1O)O)C,299.0892639,CNP0450280,O=C1C(OC)=C(OC=2C=C(O)C=C(O)C12)CC=3C=CC=CC3,1.0,0.166666667,0.8183375,1.0,0.166666667,0.952113926,1.0,0.166666667,0.279700547,0.952113926,1.0,0.166666667,0.8
3690,21,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,599.2472534,CNP0425257,O=C(OC1C2(O)C(=O)C(C)(C(CC(=O)OC)C1(C)C)C34OC4CC5(C)C(OC(=O)CC5C63OC26)C7=COC=C7)C(=CC)C,5.0,0.032258065,0.208419626,8.0,0.051612903,0.175930641,10.0,0.064516129,0.063817405,0.208419626,5.0,0.032258065,0.49230769230769234
4715,34,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,513.0780029,CNP0424504,O=C1OC2C3C(C(=O)C=C3COC(=O)CC4=CC=C(O)C=C4)=C(C)CC(OS(=O)(=O)O)C2C1=C,0.0,0.0,0.0,2.0,0.111111111,0.064675836,1.0,0.055555556,0.011237823,0.064675836,2.0,0.111111111,0.58
4716,34,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,513.0780029,CNP0241886,O=C(C1=CC=C(Br)C=C1)C2C(C(=O)C)N3C=4C=CC=CC4C=CC3C52C(=O)NC=6C=CC=CC65,1.0,0.055555556,0.79446125,1.0,0.055555556,0.593306184,2.0,0.111111111,0.274078052,0.79446125,1.0,0.055555556,0.62
3696,21,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,599.2472534,CNP0041390,O=C1C=C(OC=2C=C3OC(C)(C)C4OC(=O)C5(OC5CCC6=CC(=NC(=C6)C=7C=CN=C(N)C7)N)CCCC4C3=C(O)C12)C,1.0,0.006451613,0.024819128,14.0,0.090322581,0.068333744,18.0,0.116129032,0.046886948,0.068333744,14.0,0.090322581,0.53125
2675,12,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,347.0517883,CMNPD18745,c12c(cc(OC)c([C@@]3([H])[C@H](OC=C3)O4)c14)Oc(cccc5O)c5C2=O,1.0,0.125,0.018135978,1.0,0.125,0.019569052,1.0,0.125,0.006982454,0.019569052,1.0,0.125,0.8666666666666667
10867,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CNP0209939,O=C1OC2=C(C=C1)C=CC(OC)=C2CCC(O)(C)C,2.0,0.037735849,0.599541143,6.0,0.113207547,0.44855395,11.0,0.20754717,0.329282064,0.599541143,2.0,0.037735849,0.782608695652174
5751,47,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3C=CO4)=CC=1O2)=O,325.072052,CMNPD22052,O(c(cccc1OC)c1C(=O)O)c2c(cc(cc2C=O)C)O,2.0,0.041666667,0.008115206,3.0,0.0625,0.014463043,7.0,0.145833333,0.068656693,0.068656693,7.0,0.145833333,0.6451612903225806
4219,28,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,344.1372681,CNP0379614,O=C1C=C(C(=O)N2CC=3C=4C=CC=CC4NC3CC2)C=5C=CC=CC5N1,1.0,0.5,0.894302428,1.0,0.5,0.894302428,1.0,0.5,0.329844445,0.894302428,1.0,0.5,0.3333333333333333
11903,73,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=O)(C)[C@]6(O4)C2=C)C(C)(C)O1,601.2318726,CNP0108177,O=C(OC1CC2(C(=C)C34OC56C(=O)OC(C(=O)C6(C(=O)OC5C)C13C)(C)C4OC(=O)C)CCC(=O)OC2(C)C)C(=CC)C,4.0,0.042553191,0.214822233,4.0,0.042553191,0.070841836,3.0,0.031914894,0.031347764,0.214822233,4.0,0.042553191,1.0
12416,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CMNPD16696,[C@@H]1(C)[C@H](O)CC(=C(C(O[C@H](C)C2)=O)[C@@]12[H])O,2.0,0.025,0.337581763,13.0,0.1625,0.350106346,28.0,0.35,0.425814941,0.425814941,28.0,0.35,0.631578947368421
14463,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CNP0134757,OCC(=C)C1CCC(O)(C)C2CC=C(C)C2C1,7.0,0.112903226,0.294096725,30.0,0.483870968,0.616227007,23.0,0.370967742,0.286036861,0.616227007,30.0,0.483870968,0.6363636363636364
11907,74,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=O)(C)[C@]6(O4)C2=C)C(C)(C)O1,623.2106934,NPA007417,CCC/C=C/C=C/C=C/C(=O)O[C@H]1C2=CC(=O)C(C(=O)C2=CO[C@]13[C@@H](CC[C@@H](O3)C)OC(=O)CCC(=O)O)(C)OC(=O)C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.00442028,0.00442028,1.0,0.2,0.47619047619047616
2693,12,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OC=C2,347.0517883,CNP0045172,O=C(OCC1=CC=C(Cl)C=C1)C2=CN=C(N=C2C(F)(F)F)NN,1.0,0.125,0.937308967,1.0,0.125,0.819262207,0.0,0.0,0.0,0.937308967,1.0,0.125,0.625
6789,52,COC1C=C2C(C(C3C(O)=C4C(OC5C4CCO5)=CC=3C2=O)=O)=C(OC)C=1,369.0978088,CMNPD18702,c12c([C@](O)(CCC1=O)[C@]([H])(c(c3c(O)cc4)c45)[C@](O)([H])[C@@H](O)C3=O)c5ccc2O,2.0,0.041666667,0.82653591,3.0,0.0625,0.839921951,12.0,0.25,0.453917406,0.839921951,3.0,0.0625,0.6756756756756757
2183,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CNP0175513,O=C(OC)C1=COC2OC3(C(=CC)C(=O)OC43C=CC1C24)C,0.0,0.0,0.0,1.0,0.041666667,0.03391578,6.0,0.25,0.11565257,0.11565257,6.0,0.25,0.5142857142857142
4232,29,O=C(C(NC1=O)=C)N[C@H]1CC2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1708374,CMNPD22236,c1c2c(ccc1)[nH]c(C(C)(C)C=C)c2\C=C(/NC(C(N3)C)=O)\C3=O,1.0,0.041666667,0.017519761,3.0,0.125,0.025847774,6.0,0.25,0.122150305,0.122150305,6.0,0.25,0.40540540540540543
4744,36,COC(=O)C1=C(C(=O)C2=C(O)C=C(C(=O)O)C=C2O)C(O)=CC=C1,355.0410767,NPA008549,CC1=COC2=C(C(=O)C3=C(O2)C=CC=C3O)C(C1=O)(C(=O)OC)O,0.0,0.0,0.0,1.0,0.04,0.005963509,5.0,0.2,0.020876973,0.020876973,5.0,0.2,0.7
10374,67,CCCC(CC1OC(=O)C2C(=CC(=CC=2O)O)C1)O,267.1223145,CNP0156368,O=C1C=C2C(O)CC(OC(=O)C)C(C)C2(C=C1O)C,4.0,0.046511628,0.184699906,19.0,0.220930233,0.389905588,21.0,0.244186047,0.517545706,0.517545706,21.0,0.244186047,0.42857142857142855
7819,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CNP0055611,N#CC1=CC=CC(=C1)CN2CC3C4=C(C=CC(=O)N4CC(C2)C3)C=5C=NC=CC5,1.0,0.04,0.573582053,2.0,0.08,0.310158108,3.0,0.12,0.159339231,0.573582053,1.0,0.04,0.4523809523809524
11910,74,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=O)(C)[C@]6(O4)C2=C)C(C)(C)O1,623.2106934,CNP0092947,O=C(O)CC(=O)OC(C(N)N)C1OC(OC2=CC=C3C(OCC4C5=CC=C(OC)C(OCCO)=C5OC34)=C2)C(O)C(O)C1O,1.0,0.2,0.346562564,1.0,0.2,0.266155213,1.0,0.2,0.291961491,0.346562564,1.0,0.2,0.5
15497,91,COC1C([C@@H](OC(=O)C)CC(C)C)=CC=C2C=1C(OCC1C=C(C)C=C(O)C=1O2)=O,437.1555176,NPA032557,COC1=C(C(CC(C)C)OC(C)=O)C=CC2=C1C(=O)C1(O2)C(=O)C=C(C)C=C1CO,3.0,0.029126214,0.341605537,14.0,0.13592233,0.369319997,14.0,0.13592233,0.380481754,0.380481754,14.0,0.13592233,0.6842105263157895
12943,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CNP0086993,O=C(O)C=C(C=C(C)CC(C(=O)O)C)C,17.0,0.242857143,0.633309194,15.0,0.214285714,0.392700171,11.0,0.157142857,0.277331903,0.633309194,17.0,0.242857143,0.3181818181818182
9360,62,[H][C@@]12C(C)=CC(=O)[C@]1([H])/C(/C=O)=CC[C@@]([H])1C(CC[C@@]1(C(/C=C[C@@H](O)C(O)(C)C)C)[H])(C)C2,423.25177,CNP0231353,O=CC1(C)CCC2(C3=CC=C4C(=CC(=O)C(O)=C4C)C3(C)CCC2(C)C1CC(=O)C)C,3.0,0.6,0.253799702,2.0,0.4,0.248043738,0.0,0.0,0.0,0.253799702,3.0,0.6,0.4772727272727273
3219,17,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3O)=C[C@H]2OC(/C=C/C=C/C=O)=O)O)C)C,399.177887,CMNPD30383,[C@@H]([C@H](Cc1ccc(C\C=C(/C)\C)c(O)c1)C(=O)OC)(C(=O)O)c2ccc(O)cc2,9.0,0.225,0.12379636,9.0,0.225,0.108923334,14.0,0.35,0.210715686,0.210715686,14.0,0.35,0.43902439024390244
5779,47,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3C=CO4)=CC=1O2)=O,325.072052,CNP0363021,OC12C3=CC=4OCOC4C=C3OC2C5=CC=6C=COC6C=C5OC1,2.0,0.041666667,0.56909746,2.0,0.041666667,0.82017459,4.0,0.083333333,0.488460707,0.82017459,2.0,0.041666667,0.6764705882352942
4757,36,COC(=O)C1=C(C(=O)C2=C(O)C=C(C(=O)O)C=C2O)C(O)=CC=C1,355.0410767,CNP0051536,O=C(OCC=1C=CC=CC1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.0,0.04,0.77565825,1.0,0.04,0.952952743,0.0,0.0,0.0,0.952952743,1.0,0.04,0.5
9877,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0398388,OC1=CC=C(C=C1)C=CCOCC2OC(CO)C(O)C(O)C2O,6.0,0.064516129,0.155808598,21.0,0.225806452,0.488847869,7.0,0.075268817,0.039648132,0.488847869,21.0,0.225806452,0.45454545454545453
7331,55,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(CCC2)C(=O)N/1)(C)C,372.1681213,NPA029374,CC(=O)C1=C2C(=CC(C(=O)NCCC3=CC=CC=C3)=N1)C1=CC=CC=C1N2C,1.0,0.25,0.828305304,1.0,0.25,0.548480511,1.0,0.25,0.304414481,0.828305304,1.0,0.25,0.30434782608695654
9891,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0000035,O=C(OC1C(=CC(=O)C(C)C1OC(=O)C)C2OC2C(O)(C)C)C,5.0,0.053763441,0.237905336,14.0,0.150537634,0.468629326,18.0,0.193548387,0.555341539,0.555341539,18.0,0.193548387,0.5483870967741935
