row ID,row m/z,row retention time,Kutz43850OSMAC-GSM.mzML Peak area,Kutz43850OSMAC-GSM_con.mzML Peak area,Kutz43850OSMAC-2216E.mzML Peak area,Kutz43850OSMAC-2216E_con.mzML Peak area,Kutz43850OSMAC-LB.mzML Peak area,Kutz43850OSMAC-LB_con.mzML Peak area,Kutz43850OSMAC-M42.mzML Peak area,Kutz43850OSMAC-M42_con.mzML Peak area,Kutz43850OSMAC-MHB.mzML Peak area,Kutz43850OSMAC-MHB_con.mzML Peak area,Kutz43850OSMAC-R2A.mzML Peak area,Kutz43850OSMAC-R2A_con.mzML Peak area,Kutz43850OSMAC-TSB.mzML Peak area,Kutz43850OSMAC-TSB_con.mzML Peak area
2,381.2957846,18.08005,3616663.962,0,0,0,0,0,0,0,0,0,0,0,0,0
3,365.1345854,14.46575,7713652.091,0,0,0,0,0,0,0,0,0,0,0,0,0
4,353.2647769,17.34681667,2862723.067,0,0,0,0,0,0,0,0,0,0,0,0,0
7,365.1350924,14.10191667,1286880.763,0,0,0,0,0,0,0,0,0,0,0,0,0
10,372.1040455,6.3604,804631.3255,0,0,0,0,0,0,0,0,0,0,0,0,0
12,693.3671414,15.65788333,407683.1985,0,0,0,0,0,0,0,0,0,0,0,0,0
13,619.5266669,22.96563333,516512.792,0,0,0,0,0,0,0,0,0,0,0,0,0
15,591.4954429,21.83546667,656506.5435,0,0,0,0,0,0,0,0,0,0,0,0,0
16,491.4790386,20.06298333,336951.3155,0,0,0,0,0,0,0,0,0,0,0,0,0
21,349.1043325,0.51405,536323.395,0,0,0,0,0,0,0,0,0,0,0,0,0
22,301.2101338,17.79438333,354187.2135,0,0,0,0,0,0,0,0,0,0,0,0,0
23,372.1041715,7.020716667,381858.763,0,0,0,0,0,0,0,0,0,0,0,0,0
24,316.1832319,1.632333333,312627.1285,0,0,0,0,0,0,0,0,0,0,0,0,0
25,449.4322189,19.4125,232460.4465,0,0,0,0,0,0,0,0,0,0,0,0,0
27,337.0886701,8.717466667,305223.1835,0,0,0,0,0,0,0,0,0,0,0,0,0
