,id,pepmass,smiles
0,CCMSLIB00004721996,328.127,FC(F)(F)C1=C(C(N2CCCCC2)=O)N(C=CC=C3OC)C3=N1
1,CCMSLIB00004721997,240.033,CS(=O)(=O)CC1=Nc2ccccc2OC1=O
2,CCMSLIB00004721998,313.136,CNC(=O)C1Cc2ccccc2N1C(=O)Cc3ccc(F)cc3
3,CCMSLIB00004721999,547.305,COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C4=NN(C5CCCCCC5)C(C4(C)C)=O)C=C1
4,CCMSLIB00004722000,366.117,CS(=O)(=O)c1ccccc1C(=O)N(Cc2ccccc2)c3ccccc3
5,CCMSLIB00004722001,354.132,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCSCC3)c(F)c2
6,CCMSLIB00004722002,333.125,O=C(NCCc1c[nH]c2ccccc12)C3=Cc4ccccc4OC3=O
7,CCMSLIB00004722003,386.097,COc1ccc(cc1)c2cc(NC(=O)c3ccc(F)cc3Cl)ccc2OC
8,CCMSLIB00004722004,253.098,NC(=O)COc1ccc(cc1)c2ccc(cc2)C#N
9,CCMSLIB00004722005,381.171,CC1=C(CCC(=O)O)C(=O)Oc2c(C)c(OCc3cc(C)cc(C)c3)ccc12
10,CCMSLIB00004722006,320.103,COc1ccc(OC(C)C(=O)Nc2ccc(Cl)cc2C)cc1
11,CCMSLIB00004722007,344.162,O=C(NCc1cocc1)N2CCN(Cc3ccc4OCOc4c3)CC2
12,CCMSLIB00004722008,432.086,CC1COC2(CCN(CC2)C3=NC(=O)c4cc(cc(c4S3)[N+](=O)[O-])C(F)(F)F)O1
13,CCMSLIB00004722009,318.091,Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl
14,CCMSLIB00004722010,346.213,O=C(NC1CCCCC1)N2CCN(Cc3ccc4OCOc4c3)CC2
15,CCMSLIB00004722011,365.15,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c4oc5ccccc5c4
16,CCMSLIB00004722012,321.013,COc1cccc(OCC(=O)c2ccc(Br)cc2)c1
17,CCMSLIB00004722013,585.319,COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C([C@@H]4[C@H]5CC=CC4)=NN(C6CCCCCC6)C5=O)C=C1
18,CCMSLIB00004722014,310.102,Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C
19,CCMSLIB00004722015,322.087,OB1OCc2ccc(NC(=O)c3ccccc3C(F)(F)F)cc12
20,CCMSLIB00004722016,341.198,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1
21,CCMSLIB00004722017,313.192,O=C(C1CCCCC1)N2CC3N(CCc4ccccc34)C(=O)C2
22,CCMSLIB00004722018,445.161,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
23,CCMSLIB00004722019,169.016,ClC1=CC(N=C(N)O2)=C2C=C1
24,CCMSLIB00004722020,205.191,CC[C@H](CO)NCCN[C@H](CC)CO
25,CCMSLIB00004722021,338.153,CC(=O)NC[C@@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
26,CCMSLIB00004722022,609.115,Cc1cc(ccc1C(=O)NCc2ccc3B(O)OC(C)(C)c3c2)C4=NOC(C4)(c5cc(Cl)c(F)c(Cl)c5)C(F)(F)F
27,CCMSLIB00004722023,183.094,NCCCC(N)(C(F)F)C(=O)O
28,CCMSLIB00004722024,462.046,CC1(C)OB(O)c2ccc(cc12)C3=NOC(C3)(c4cc(Cl)c(F)c(Cl)c4)C(F)(F)F
29,CCMSLIB00004722025,344.179,ClC1=CC=C([C@@](C)(C2=CC=CC=C2)OCCC3N(C)CCC3)C=C1
30,CCMSLIB00004722026,473.13,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5
31,CCMSLIB00004722027,387.108,COc1ccccc1C(C)NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F
32,CCMSLIB00004722028,368.038,Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1
33,CCMSLIB00004722029,386.188,CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N
34,CCMSLIB00004722030,355.274,CC1CC1C(=O)NC2CCN(CC3(CCCCC3)c4ccccc4)CC2
35,CCMSLIB00004722031,400.056,Clc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=S)NCc3occc3
36,CCMSLIB00004722032,395.12,CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)c2ccc(Cl)cc2
